Date,Time,Average,Peak
8/09/2015,8:51:04,36.989667,40.372856
8/09/2015,8:51:04,43.817661,43.827532
8/09/2015,8:51:04,46.738909,49.991416
8/09/2015,8:51:04,45.607562,47.004923
8/09/2015,8:51:04,38.008119,44.584726
8/09/2015,8:51:04,32.34713,36.25559
8/09/2015,8:51:04,48.00949,48.015103
8/09/2015,8:51:04,42.518579,56.472419
8/09/2015,8:51:04,38.723935,45.222253
8/09/2015,8:51:05,41.545152,41.570161
8/09/2015,8:51:05,36.618803,44.177776
8/09/2015,8:51:05,39.753721,41.18871
8/09/2015,8:51:05,46.026431,46.494783
8/09/2015,8:51:05,49.406964,50.905206
8/09/2015,8:51:05,43.170832,43.170832
8/09/2015,8:51:05,42.07084,44.257885
8/09/2015,8:51:05,41.760888,41.760888
8/09/2015,8:51:05,52.095848,56.192617
8/09/2015,8:51:06,59.561077,60.030007
8/09/2015,8:51:06,48.385349,49.675979
8/09/2015,8:51:06,44.981267,45.907911
8/09/2015,8:51:06,48.945431,49.066259
8/09/2015,8:51:06,59.459624,62.73278
8/09/2015,8:51:06,57.122857,58.069277
8/09/2015,8:51:06,53.293955,58.280806
8/09/2015,8:51:06,46.447082,50.335439
8/09/2015,8:51:06,48.56459,48.56459
8/09/2015,8:51:07,57.047256,71.988387
8/09/2015,8:51:07,50.384855,50.905065
8/09/2015,8:51:07,51.582975,53.330492
8/09/2015,8:51:07,46.622823,47.483321
8/09/2015,8:51:07,59.092121,60.316819
8/09/2015,8:51:07,48.769177,58.132868
8/09/2015,8:51:07,58.400393,58.628487
8/09/2015,8:51:07,53.795207,55.258392
8/09/2015,8:51:08,48.058803,57.05927
8/09/2015,8:51:08,55.172513,55.247054
8/09/2015,8:51:08,57.346605,60.111912
8/09/2015,8:51:08,52.302533,59.982821
8/09/2015,8:51:08,59.414736,59.414736
8/09/2015,8:51:08,63.436826,64.633369
8/09/2015,8:51:08,57.836531,59.420169
8/09/2015,8:51:08,53.29375,57.859163
8/09/2015,8:51:08,71.329397,74.937599
8/09/2015,8:51:09,65.126697,68.950092
8/09/2015,8:51:09,63.838844,68.158291
8/09/2015,8:51:09,53.261168,62.384654
8/09/2015,8:51:09,48.814461,53.354687
8/09/2015,8:51:09,45.757696,48.360838
8/09/2015,8:51:09,46.446279,47.791941
8/09/2015,8:51:09,51.858991,52.093848
8/09/2015,8:51:09,50.058719,56.678107
8/09/2015,8:51:10,49.751196,50.065995
8/09/2015,8:51:10,47.461287,47.504419
8/09/2015,8:51:10,48.697589,48.931397
8/09/2015,8:51:10,55.272236,59.736649
8/09/2015,8:51:10,46.358443,57.31894
8/09/2015,8:51:10,46.866353,47.162979
8/09/2015,8:51:10,44.328539,46.325727
8/09/2015,8:51:10,47.27787,48.257585
8/09/2015,8:51:10,47.214737,49.137146
8/09/2015,8:51:11,44.471382,49.065041
8/09/2015,8:51:11,43.705061,44.626696
8/09/2015,8:51:11,54.357348,54.828188
8/09/2015,8:51:11,49.293782,56.446723
8/09/2015,8:51:11,45.559219,48.433069
8/09/2015,8:51:11,40.60408,46.359535
8/09/2015,8:51:11,42.546699,44.378223
8/09/2015,8:51:11,52.606928,52.791267
8/09/2015,8:51:11,50.058466,51.450533
8/09/2015,8:51:12,48.368307,50.777695
8/09/2015,8:51:12,46.093497,49.344964
8/09/2015,8:51:12,44.755792,49.546326
8/09/2015,8:51:12,56.287142,56.361475
8/09/2015,8:51:12,49.214555,56.026374
8/09/2015,8:51:12,43.355013,50.109552
8/09/2015,8:51:12,51.556419,52.970377
8/09/2015,8:51:12,56.27234,57.263116
8/09/2015,8:51:12,56.581541,56.581541
8/09/2015,8:51:13,55.053916,60.931757
8/09/2015,8:51:13,62.611286,63.460475
8/09/2015,8:51:13,64.781724,64.811959
8/09/2015,8:51:13,67.608935,70.341765
8/09/2015,8:51:13,78.314818,78.891997
8/09/2015,8:51:13,74.868443,75.033322
8/09/2015,8:51:13,76.606128,79.47547
8/09/2015,8:51:13,74.459373,74.554583
8/09/2015,8:51:13,58.991571,70.79056
8/09/2015,8:51:14,52.634476,58.706008
8/09/2015,8:51:14,44.856023,54.276973
8/09/2015,8:51:14,63.893161,64.585498
8/09/2015,8:51:14,65.832614,66.757733
8/09/2015,8:51:14,53.122631,70.166741
8/09/2015,8:51:14,53.864981,56.934126
8/09/2015,8:51:14,54.181108,58.847266
8/09/2015,8:51:14,62.176686,62.176686
8/09/2015,8:51:15,52.841291,56.794388
8/09/2015,8:51:15,56.771459,63.067931
8/09/2015,8:51:15,47.981702,48.98217
8/09/2015,8:51:15,61.762311,66.936119
8/09/2015,8:51:15,54.248361,70.249332
8/09/2015,8:51:15,60.809661,60.810858
8/09/2015,8:51:15,52.303746,58.589034
8/09/2015,8:51:15,66.498359,70.563338
8/09/2015,8:51:15,57.740717,58.818229
8/09/2015,8:51:16,55.406861,62.004757
8/09/2015,8:51:16,49.837048,61.480762
8/09/2015,8:51:16,48.712229,52.615169
8/09/2015,8:51:16,74.224696,74.799204
8/09/2015,8:51:16,52.655251,62.33292
8/09/2015,8:51:16,51.834194,60.715267
8/09/2015,8:51:16,65.491304,66.648472
8/09/2015,8:51:16,59.145024,69.682127
8/09/2015,8:51:16,57.667442,60.947053
8/09/2015,8:51:17,60.20425,63.348811
8/09/2015,8:51:17,52.446195,55.116237
8/09/2015,8:51:17,58.083756,58.083756
8/09/2015,8:51:17,53.308619,74.882628
8/09/2015,8:51:17,49.869727,56.924129
8/09/2015,8:51:17,48.820518,63.668542
8/09/2015,8:51:17,70.147767,70.859049
8/09/2015,8:51:17,54.546438,73.461742
8/09/2015,8:51:17,55.897205,61.014775
8/09/2015,8:51:18,55.120833,61.965407
8/09/2015,8:51:18,53.339931,56.382527
8/09/2015,8:51:18,61.177451,61.177451
8/09/2015,8:51:18,53.720017,71.149338
8/09/2015,8:51:18,54.828798,58.00081
8/09/2015,8:51:18,64.62051,64.659623
8/09/2015,8:51:18,52.257408,69.115527
8/09/2015,8:51:18,57.388136,58.028744
8/09/2015,8:51:18,60.734439,61.209652
8/09/2015,8:51:19,53.536349,63.403473
8/09/2015,8:51:19,54.189365,54.234904
8/09/2015,8:51:19,67.357772,69.065232
8/09/2015,8:51:19,51.418853,55.853942
8/09/2015,8:51:19,53.2591,62.119425
8/09/2015,8:51:19,64.373958,65.186047
8/09/2015,8:51:19,52.004731,70.598881
8/09/2015,8:51:19,55.760689,61.412515
8/09/2015,8:51:20,49.414154,66.921846
8/09/2015,8:51:20,50.089226,52.415206
8/09/2015,8:51:20,62.084862,62.768211
