Pest	Species	Lifestage	SLS	Assessed	Temperature	Efnom	Efpc	EF_CT	CO2	Duration	Rep	Unhatched	Live_Hatched	Dead	Moribund	Total	
WFT	Western flower thrips	Adult	WFT Ad	1	15	0	0	0	9.22	2	0		9	39	0	48	
WFT	Western flower thrips	Adult	WFT Ad	1	15	0.05	0.03	0.06	0.34	2	0		15	49	0	64	
WFT	Western flower thrips	Adult	WFT Ad	1	15	0.1	0.09	0.18	0.655	2	0		17	18	0	35	
WFT	Western flower thrips	Adult	WFT Ad	1	15	0.2	0.15	0.3	1.165	2	0		0	69	0	69	
WFT	Western flower thrips	Adult	WFT Ad	1	15	0.3	0.25	0.5	1.34	2	0		0	79	0	79	
WFT	Western flower thrips	Adult	WFT Ad	1	15	0.5	0.49	0.98	2.685	2	0		2	73	0	75	
WFT	Western flower thrips	Adult	WFT Ad	1	15	1	0.32	0.64	5.06	2	0		0	46	0	46	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	Control	0	0	0	2	0		107	0	0	107	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	0	0	0	9.22	2	0		91	0	0	91	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	0.2	0.15	0.3	1.165	2	0		101	0	0	101	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	0.3	0.25	0.5	1.34	2	0		102	0	0	102	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	0.5	0.49	0.98	2.685	2	0		80	14	0	94	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	1	0.32	0.64	5.06	2	0		22	67	10	99	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	1.5	0.6	1.2	6.445	2	0		12	66	12	90	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	15	2	0.97	1.94	8.15	2	0		7	83	6	96	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	Control	0	0	0	2	0	11	169			180	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	0	0	0	9.22	2	0	35	190			225	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	0.2	0.15	0.3	1.165	2	0	15	263			278	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	0.3	0.25	0.5	1.34	2	0	19	251			270	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	0.5	0.49	0.98	2.685	2	0	8	166			174	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	1	0.32	0.64	5.06	2	0	5	222			227	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	1.5	0.6	1.2	6.445	2	0	52	245			297	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	15	2	0.97	1.94	8.15	2	0	70	225			295	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	Control	0	0	0	2	1		100	0	0	100	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	0	0	0	21.4	2	1		108	0	0	108	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	0.5	0.38	0.76	3.8	2	1		36	57	5	98	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	1	0.73	1.46	6.8	2	1		12	91	4	107	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	1.5	1.36	2.72	12	2	1		9	101	1	111	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	2	1.76	3.52	15.4	2	1		4	116	1	121	
