Pest	Species	Lifestage	SLS	LS Assessed	Assessed	Temperature	Efnom	Efpc	CO2	Duration	Rep	Unhatched	Live_Hatched	Dead	Moribund	Total
WFT 	Western Flower thrip	Larvae	WFT		1	15	0	0	9.5	4	3	0	12	2	0	14
WFT 	Western Flower thrip	Adult	WFT		1	15	0	0	9.5	4	3	0	2	4	0	6
WFT 	Western Flower thrip	Larvae	WFT		1	15	0.25	0.19	2.7	4	3	0	7	132	0	139
WFT 	Western Flower thrip	Adult	WFT		1	15	0.25	0.19	2.7	4	3	0	0	17	0	17
WFT 	Western Flower thrip	Larvae	WFT		1	15	0.5	0.41	5	4	3	0	7	125	0	132
WFT 	Western Flower thrip	Adult	WFT		1	15	0.5	0.41	5	4	3	0	0	7	0	7
WFT 	Western Flower thrip	Larvae	WFT		1	15	0.75	0.6	6.9	4	3	0	6	28	0	34
WFT 	Western Flower thrip	Adult	WFT		1	15	0.75	0.6	6.9	4	3	0	0	10	0	10
WFT 	Western Flower thrip	Larvae	WFT		1	15	1	0.91	9.7	4	3	0	8	46	0	54
WFT 	Western Flower thrip	Adult	WFT		1	15	1	0.91	9.7	4	3	0	0	14	0	14
WFT 	Western Flower thrip	Larvae	WFT		1	15	1.25	1.16	12	4	3	0	3	18	0	21
WFT 	Western Flower thrip	Adult	WFT		1	15	1.25	1.16	12	4	3	0	0	14	0	14
WFT 	Western Flower thrip	Larvae	WFT		1	15	1.5	1.44	14.6	4	3	0	5	101	0	106
WFT 	Western Flower thrip	Adult	WFT		1	15	1.5	1.44	14.6	4	3	0	0	4	0	4
