Pest	Species	Lifestage	SLS	LS Assessed	Assessed	Temperature	Efnom	Efpc	CO2	Duration	Rep	Unhatched	Live_Hatched	Dead	Moribund	Total
WFT	Western Flower thrip	Adult	WFT		1	5	0.5	0.42	4.3	2	3		0	7	0	7
WFT	Western Flower thrip	Larvae	WFT		1	5	1	0.98	7.7	2	3		4	24	0	28
WFT	Western Flower thrip	Adult	WFT		1	5	1	0.98	7.7	2	3		0	15	0	15
WFT	Western Flower thrip	Larvae	WFT		1	5	1.5	1.38	11.2	2	3		4	34	0	38
WFT	Western Flower thrip	Adult	WFT		1	5	1.5	1.38	11.2	2	3		0	5	0	5
WFT	Western Flower thrip	Larvae	WFT		1	5	2	1.77	14.2	2	3		2	22	0	24
WFT	Western Flower thrip	Adult	WFT		1	5	2	1.77	14.2	2	3		0	13	0	13
WFT	Western Flower thrip	Larvae	WFT		1	5	2.5	2.08	17.2	2	3		0	48	0	48
WFT	Western Flower thrip	Adult	WFT		1	5	2.5	2.08	17.2	2	3		0	12	0	12
WFT	Western Flower thrip	Larvae	WFT		1	15	control	0	0	2	1		23	2	0	25
WFT	Western Flower thrip	Adult	WFT		1	15	control	0	0	2	1		5	2	0	7
WFT	Western Flower thrip	Larvae	WFT		1	15	control	0	0	2	2		36	1	0	37
WFT	Western Flower thrip	Adult	WFT		1	15	control	0	0	2	2		2	2	0	4
WFT	Western Flower thrip	Larvae	WFT		1	15	control	0	0	2	3		202	6	0	208
WFT	Western Flower thrip	Adult	WFT		1	15	control	0	0	2	3		25	18	0	43
WFT	Western Flower thrip	Larvae	WFT		1	15	0	0	19	2	1		128	6	0	134
WFT	Western Flower thrip	Adult	WFT		1	15	0	0	19	2	1		8	8	0	16
WFT	Western Flower thrip	Larvae	WFT		1	15	0	0	18.8	2	2		31	0	0	31
WFT	Western Flower thrip	Adult	WFT		1	15	0	0	18.8	2	2		21	1	0	22
WFT	Western Flower thrip	Larvae	WFT		1	15	0	0	18.6	2	3		102	4	0	106
WFT	Western Flower thrip	Adult	WFT		1	15	0	0	18.6	2	3		45	11	0	56
WFT	Western Flower thrip	Larvae	WFT		1	15	0.25	0.21	2.45	2	1		7	75	0	82
WFT	Western Flower thrip	Adult	WFT		1	15	0.25	0.21	2.45	2	1		0	3	0	3
WFT	Western Flower thrip	Larvae	WFT		1	15	0.5	0.45	4.2	2	1		5	10	0	15
WFT	Western Flower thrip	Larvae	WFT		1	15	1	0.92	8.4	2	1		13	30	0	43
WFT	Western Flower thrip	Adult	WFT		1	15	1	0.92	8.4	2	1		0	21	0	21
WFT	Western Flower thrip	Larvae	WFT		1	15	1.5	1.39	12.2	2	1		1	16	0	17
WFT	Western Flower thrip	Adult	WFT		1	15	1.5	1.39	12.2	2	1		0	3	0	3
WFT	Western Flower thrip	Larvae	WFT		1	15	2	1.75	16	2	1		1	3	0	4
WFT	Western Flower thrip	Adult	WFT		1	15	2	1.75	16	2	1		0	2	0	2
WFT	Western Flower thrip	Larvae	WFT		1	15	2.5	2.06	19.4	2	1		0	18	0	18
WFT	Western Flower thrip	Adult	WFT		1	15	2.5	2.06	19.4	2	1		0	8	0	8
WFT	Western Flower thrip	Larvae	WFT		1	15	0.25	0.19	2.65	2	2		17	15	0	32
WFT	Western Flower thrip	Adult	WFT		1	15	0.25	0.19	2.65	2	2		0	23	0	23
WFT	Western Flower thrip	Larvae	WFT		1	15	0.5	0.35	5.05	2	2		6	11	0	17
WFT	Western Flower thrip	Adult	WFT		1	15	0.5	0.35	5.05	2	2		0	22	0	22
WFT	Western Flower thrip	Larvae	WFT		1	15	1	0.86	8.3	2	2		18	65	0	83
WFT	Western Flower thrip	Adult	WFT		1	15	1	0.86	8.3	2	2		0	27	0	27
WFT	Western Flower thrip	Larvae	WFT		1	15	2.5	1.77	19.2	2	2		0	13	0	13
WFT	Western Flower thrip	Adult	WFT		1	15	2.5	1.77	19.2	2	2		0	4	0	4
WFT	Western Flower thrip	Larvae	WFT		1	15	2	1.48	15.2	2	2		5	27	0	32
WFT	Western Flower thrip	Adult	WFT		1	15	2	1.48	15.2	2	2		0	12	0	12
WFT	Western Flower thrip	Larvae	WFT		1	15	1.5	1.1	11.8	2	2		5	10	0	15
WFT	Western Flower thrip	Adult	WFT		1	15	1.5	1.1	11.8	2	2		0	10	0	10
WFT	Western Flower thrip	Larvae	WFT		1	15	1	0.93	7	2	3		8	36	0	44
WFT	Western Flower thrip	Adult	WFT		1	15	1	0.93	7	2	3		3	19	0	22
WFT	Western Flower thrip	Larvae	WFT		1	15	1.5	1.42	11	2	3		11	22	0	33
WFT	Western Flower thrip	Adult	WFT		1	15	1.5	1.42	11	2	3		6	5	0	11
WFT	Western Flower thrip	Larvae	WFT		1	15	0.25	0.19	2.02	2	3		26	14	0	40
WFT	Western Flower thrip	Adult	WFT		1	15	0.25	0.19	2.02	2	3		0	28	0	28
WFT	Western Flower thrip	Larvae	WFT		1	15	0.5	0.47	4.15	2	3		12	14	0	26
WFT	Western Flower thrip	Adult	WFT		1	15	0.5	0.47	4.15	2	3		0	17	0	17
WFT	Western Flower thrip	Larvae	WFT		1	15	2	1.8	14.6	2	3		4	39	0	43
WFT	Western Flower thrip	Adult	WFT		1	15	2	1.8	14.6	2	3		0	30	0	30
WFT	Western Flower thrip	Larvae	WFT		1	15	2.5	2.1	18.2	2	3		1	10	0	11
WFT	Western Flower thrip	Adult	WFT		1	15	2.5	2.1	18.2	2	3		0	23	0	23
WFT	Western Flower thrip	Larvae	WFT		1	5	control	0	0	3	1		85	9	0	94
WFT	Western Flower thrip	Adult	WFT		1	5	control	0	0	3	1		6	4	0	10
WFT	Western Flower thrip	Larvae	WFT		1	5	control	0	0	3	2		149	12	0	161
WFT	Western Flower thrip	Adult	WFT		1	5	control	0	0	3	2		12	9	0	21
WFT	Western Flower thrip	Larvae	WFT		1	5	control	0	0	3	3		39	3	0	42
WFT	Western Flower thrip	Adult	WFT		1	5	control	0	0	3	3		2	3	0	5
WFT	Western Flower thrip	Larvae	WFT		1	5	0	0	12.8	3	1		47	9	0	56
WFT	Western Flower thrip	Adult	WFT		1	5	0	0	12.8	3	1		13	5	0	18
WFT	Western Flower thrip	Larvae	WFT		1	5	0	0	12	3	2		82	11	0	93
WFT	Western Flower thrip	Adult	WFT		1	5	0	0	12	3	2		5	9	0	14
WFT	Western Flower thrip	Larvae	WFT		1	5	0	0	11.6	3	3		17	7	0	24
WFT	Western Flower thrip	Adult	WFT		1	5	0	0	11.6	3	3		7	2	0	9
WFT	Western Flower thrip	Larvae	WFT		1	5	1.33	1.156666667	10.2	3	1		2	11	0	13
WFT	Western Flower thrip	Adult	WFT		1	5	1.33	1.156666667	10.2	3	1		0	18	0	18
WFT	Western Flower thrip	Larvae	WFT		1	5	1.67	1.39	12.4	3	1		6	37	0	43
WFT	Western Flower thrip	Adult	WFT		1	5	1.67	1.39	12.4	3	1		0	6	0	6
WFT	Western Flower thrip	Larvae	WFT		1	5	1	0.9	8	3	1		0	2	0	2
WFT	Western Flower thrip	Adult	WFT		1	5	1	0.9	8	3	1		0	18	0	18
WFT	Western Flower thrip	Larvae	WFT		1	5	0.67	0.59	5.4	3	1		1	4	0	5
WFT	Western Flower thrip	Adult	WFT		1	5	0.67	0.59	5.4	3	1		0	12	0	12
WFT	Western Flower thrip	Larvae	WFT		1	5	0.17	0.15	2.2	3	1		3	20	0	23
WFT	Western Flower thrip	Adult	WFT		1	5	0.17	0.15	2.2	3	1		0	10	0	10
WFT	Western Flower thrip	Larvae	WFT		1	5	0.33	0.28	2.75	3	1		3	83	0	86
WFT	Western Flower thrip	Adult	WFT		1	5	0.33	0.28	2.75	3	1		0	24	0	24
WFT	Western Flower thrip	Larvae	WFT		1	5	1.33	1.02	9.8	3	2		5	48	0	53
WFT	Western Flower thrip	Adult	WFT		1	5	1.33	1.02	9.8	3	2		0	7	0	7
WFT	Western Flower thrip	Larvae	WFT		1	5	1.67	1.27	12.2	3	2		4	43	0	47
WFT	Western Flower thrip	Adult	WFT		1	5	1.67	1.27	12.2	3	2		0	18	0	18
WFT	Western Flower thrip	Larvae	WFT		1	5	0.67	0.56	5.6	3	2		0	4	0	4
WFT	Western Flower thrip	Adult	WFT		1	5	0.67	0.56	5.6	3	2		0	14	0	14
WFT	Western Flower thrip	Larvae	WFT		1	5	1	0.73	7.9	3	2		1	57	0	58
WFT	Western Flower thrip	Adult	WFT		1	5	1	0.73	7.9	3	2		0	8	0	8
WFT	Western Flower thrip	Larvae	WFT		1	5	0.17	0.11	1.74	3	2		8	55	0	63
WFT	Western Flower thrip	Adult	WFT		1	5	0.17	0.11	1.74	3	2		0	39	0	39
WFT	Western Flower thrip	Larvae	WFT		1	5	0.33	0.34	4.6	3	2		1	11	0	12
WFT	Western Flower thrip	Adult	WFT		1	5	0.33	0.34	4.6	3	2		8	10	0	18
WFT	Western Flower thrip	Larvae	WFT		1	5	0.67	0.62	5.1	3	3		8	55	0	63
WFT	Western Flower thrip	Adult	WFT		1	5	0.67	0.62	5.1	3	3		0	5	0	5
WFT	Western Flower thrip	Larvae	WFT		1	5	1	0.92	7.2	3	3		4	29	0	33
WFT	Western Flower thrip	Adult	WFT		1	5	1	0.92	7.2	3	3		0	10	0	10
WFT	Western Flower thrip	Larvae	WFT		1	5	1.67	1.43	11.6	3	3		0	20	0	20
WFT	Western Flower thrip	Adult	WFT		1	5	1.67	1.43	11.6	3	3		0	13	0	13
WFT	Western Flower thrip	Larvae	WFT		1	5	0.17	0.11	1.72	3	3		8	21	0	29
WFT	Western Flower thrip	Adult	WFT		1	5	0.17	0.11	1.72	3	3		1	20	0	21
WFT	Western Flower thrip	Larvae	WFT		1	5	1.33	1.16	9.2	3	3		1	27	0	28
WFT	Western Flower thrip	Adult	WFT		1	5	1.33	1.16	9.2	3	3		1	24	0	25
WFT	Western Flower thrip	Larvae	WFT		1	5	0.33	0.26	3	3	3		9	66	0	75
WFT	Western Flower thrip	Adult	WFT		1	5	0.33	0.26	3	3	3		0	19	0	19
WFT	Western Flower thrip	Larvae	WFT		1	15	control	0	0	3	1		142	4	0	146
WFT	Western Flower thrip	Adult	WFT		1	15	control	0	0	3	1		11	2	0	13
WFT	Western Flower thrip	Larvae	WFT		1	15	control	0	0	3	2		194	10	0	204
WFT	Western Flower thrip	Adult	WFT		1	15	control	0	0	3	2		8	11	0	19
WFT	Western Flower thrip	Larvae	WFT		1	15	control	0	0	3	3		115	10	0	125
WFT	Western Flower thrip	Adult	WFT		1	15	control	0	0	3	3		5	3	0	8
WFT	Western Flower thrip	Larvae	WFT		1	15	0	0	13.2	3	1		63	11	0	74
WFT	Western Flower thrip	Adult	WFT		1	15	0	0	13.2	3	1		7	8	0	15
WFT	Western Flower thrip	Larvae	WFT		1	15	0	0	12.2	3	2		19	10	0	29
WFT	Western Flower thrip	Adult	WFT		1	15	0	0	12.2	3	2		11	6	0	17
WFT	Western Flower thrip	Larvae	WFT		1	15	0	0	11.8	3	3		126	24	0	150
WFT	Western Flower thrip	Adult	WFT		1	15	0	0	11.8	3	3		5	11	0	16
WFT	Western Flower thrip	Larvae	WFT		1	15	1.33	1.18	10.3	3	1		5	49	0	54
WFT	Western Flower thrip	Adult	WFT		1	15	1.33	1.18	10.3	3	1		0	21	0	21
WFT	Western Flower thrip	Larvae	WFT		1	15	1.67	1.43	13.2	3	1		4	72	0	76
WFT	Western Flower thrip	Adult	WFT		1	15	1.67	1.43	13.2	3	1		0	3	0	3
WFT	Western Flower thrip	Larvae	WFT		1	15	0.17	0.14	1.82	3	1		5	13	0	18
WFT	Western Flower thrip	Adult	WFT		1	15	0.17	0.14	1.82	3	1		0	8	0	8
WFT	Western Flower thrip	Larvae	WFT		1	15	0.33	0.28	2.85	3	1		7	45	0	52
WFT	Western Flower thrip	Adult	WFT		1	15	0.33	0.28	2.85	3	1		0	9	0	9
WFT	Western Flower thrip	Larvae	WFT		1	15	0.67	0.59	5.6	3	1		0	18	0	18
WFT	Western Flower thrip	Adult	WFT		1	15	0.67	0.59	5.6	3	1		0	9	0	9
WFT	Western Flower thrip	Larvae	WFT		1	15	1	0.91	8.2	3	1		2	33	0	35
WFT	Western Flower thrip	Adult	WFT		1	15	1	0.91	8.2	3	1		0	13	0	13
WFT	Western Flower thrip	Larvae	WFT		1	15	1.33	1.05	10.6	3	2		6	25	0	31
WFT	Western Flower thrip	Adult	WFT		1	15	1.33	1.05	10.6	3	2		0	11	0	11
WFT	Western Flower thrip	Larvae	WFT		1	15	1.67	1.32	12.8	3	2		0	74	0	74
WFT	Western Flower thrip	Adult	WFT		1	15	1.67	1.32	12.8	3	2		0	30	0	30
WFT	Western Flower thrip	Larvae	WFT		1	15	0.67	0.57	5.7	3	2		3	36	0	39
WFT	Western Flower thrip	Adult	WFT		1	15	0.67	0.57	5.7	3	2		0	3	0	3
WFT	Western Flower thrip	Larvae	WFT		1	15	1	0.75	8.2	3	2		7	29	0	36
WFT	Western Flower thrip	Adult	WFT		1	15	1	0.75	8.2	3	2		0	10	0	10
WFT	Western Flower thrip	Larvae	WFT		1	15	0.17	0.11	1.84	3	2		10	31	0	41
WFT	Western Flower thrip	Adult	WFT		1	15	0.17	0.11	1.84	3	2		0	7	0	7
WFT	Western Flower thrip	Larvae	WFT		1	15	0.33	0.25	3.21	3	2		6	91	0	97
WFT	Western Flower thrip	Adult	WFT		1	15	0.33	0.25	3.21	3	2		0	19	0	19
WFT	Western Flower thrip	Larvae	WFT		1	15	0.67	0.63	5.35	3	3		12	34	0	46
WFT	Western Flower thrip	Adult	WFT		1	15	0.67	0.63	5.35	3	3		0	9	0	9
WFT	Western Flower thrip	Larvae	WFT		1	15	1	0.96	7.6	3	3		9	21	0	30
WFT	Western Flower thrip	Adult	WFT		1	15	1	0.96	7.6	3	3		0	11	0	11
WFT	Western Flower thrip	Larvae	WFT		1	15	0.17	0.13	2.2	3	3		9	86	0	95
WFT	Western Flower thrip	Adult	WFT		1	15	0.17	0.13	2.2	3	3		0	21	0	21
WFT	Western Flower thrip	Larvae	WFT		1	15	0.33	0.26	3.1	3	3		27	110	0	137
WFT	Western Flower thrip	Adult	WFT		1	15	0.33	0.26	3.1	3	3		0	10	0	10
WFT	Western Flower thrip	Larvae	WFT		1	15	1.33	1.27	9.3	3	3		0	76	0	76
WFT	Western Flower thrip	Adult	WFT		1	15	1.33	1.27	9.3	3	3		0	22	0	22
WFT	Western Flower thrip	Larvae	WFT		1	15	1.67	1.47	12.4	3	3		0	43	0	43
WFT	Western Flower thrip	Adult	WFT		1	15	1.67	1.47	12.4	3	3		0	10	0	10
WFT	Western Flower thrip	Larvae	WFT		1	5	control	0	0	1	1		95	21	0	116
WFT	Western Flower thrip	Adult	WFT		1	5	control	0	0	1	1		4	14	0	18
WFT	Western Flower thrip	Larvae	WFT		1	5	0	0	21.8	1	1		73	28	0	101
WFT	Western Flower thrip	Adult	WFT		1	5	0	0	21.8	1	1		4	12	0	16
WFT	Western Flower thrip	Larvae	WFT		1	5	control	0	0	1	2		87	49	0	136
WFT	Western Flower thrip	Adult	WFT		1	5	control	0	0	1	2		5	17	0	22
WFT	Western Flower thrip	Larvae	WFT		1	5	0	0	20.2	1	2		37	57	0	94
WFT	Western Flower thrip	Adult	WFT		1	5	0	0	20.2	1	2		3	13	0	16
WFT	Western Flower thrip	Larvae	WFT		1	5	control	0	0	1	3		21	32	0	53
WFT	Western Flower thrip	Adult	WFT		1	5	control	0	0	1	3		5	9	0	14
WFT	Western Flower thrip	Larvae	WFT		1	5	0	0	20.4	1	3		35	21	0	56
WFT	Western Flower thrip	Adult	WFT		1	5	0	0	20.4	1	3		5	6	0	11
WFT	Western Flower thrip	Larvae	WFT		1	5	0.1	0.084	1.04	1	1		8	98	0	106
WFT	Western Flower thrip	Larvae	WFT		1	5	0.3	0.224	2.6	1	1		8	105	0	113
WFT	Western Flower thrip	Adult	WFT		1	5	0.3	0.224	2.6	1	1		0	39	0	39
WFT	Western Flower thrip	Larvae	WFT		1	5	0.5	0.43	4.1	1	1		4	90	0	94
WFT	Western Flower thrip	Adult	WFT		1	5	0.5	0.43	4.1	1	1		0	12	0	12
WFT	Western Flower thrip	Larvae	WFT		1	5	1	0.84	8.1	1	1		0	102	0	102
WFT	Western Flower thrip	Adult	WFT		1	5	1	0.84	8.1	1	1		0	24	0	24
WFT	Western Flower thrip	Larvae	WFT		1	5	2	1.67	14.8	1	1		1	66	0	67
WFT	Western Flower thrip	Adult	WFT		1	5	2	1.67	14.8	1	1		0	13	0	13
WFT	Western Flower thrip	Larvae	WFT		1	5	3	2.26	22.5	1	1		0	78	0	78
WFT	Western Flower thrip	Adult	WFT		1	5	3	2.26	22.5	1	1		0	24	0	24
WFT	Western Flower thrip	Larvae	WFT		1	5	0.1	0.06	1.28	1	2		23	64	0	87
WFT	Western Flower thrip	Adult	WFT		1	5	0.1	0.06	1.28	1	2		4	7	0	11
WFT	Western Flower thrip	Larvae	WFT		1	5	0.3	0.21	3	1	2		2	69	0	71
WFT	Western Flower thrip	Adult	WFT		1	5	0.3	0.21	3	1	2		0	7	0	7
WFT	Western Flower thrip	Larvae	WFT		1	5	0.5	0.44	4.6	1	2		2	56	0	58
WFT	Western Flower thrip	Adult	WFT		1	5	0.5	0.44	4.6	1	2		0	19	0	19
WFT	Western Flower thrip	Larvae	WFT		1	5	1	0.69	7.7	1	2		0	104	0	104
WFT	Western Flower thrip	Adult	WFT		1	5	1	0.69	7.7	1	2		0	11	0	11
WFT	Western Flower thrip	Larvae	WFT		1	5	2	1.48	14	1	2		0	49	0	49
WFT	Western Flower thrip	Adult	WFT		1	5	2	1.48	14	1	2		0	7	0	7
WFT	Western Flower thrip	Larvae	WFT		1	5	3	2.12	20.8	1	2		1	19	0	20
WFT	Western Flower thrip	Adult	WFT		1	5	3	2.12	20.8	1	2		0	10	0	10
WFT	Western Flower thrip	Larvae	WFT		1	5	0.1	0.06	0.59	1	3		40	58	0	98
WFT	Western Flower thrip	Adult	WFT		1	5	0.1	0.06	0.59	1	3		0	8	0	8
WFT	Western Flower thrip	Larvae	WFT		1	5	0.3	0.23	2.4	1	3		1	45	0	46
WFT	Western Flower thrip	Adult	WFT		1	5	0.3	0.23	2.4	1	3		0	7	0	7
WFT	Western Flower thrip	Larvae	WFT		1	5	0.5	0.41	4.3	1	3		0	45	0	45
WFT	Western Flower thrip	Adult	WFT		1	5	0.5	0.41	4.3	1	3		0	6	0	6
WFT	Western Flower thrip	Larvae	WFT		1	5	1	0.88	8.1	1	3		0	58	0	58
WFT	Western Flower thrip	Adult	WFT		1	5	1	0.88	8.1	1	3		0	11	0	11
WFT	Western Flower thrip	Larvae	WFT		1	5	2	1.71	14	1	3		1	52	0	53
WFT	Western Flower thrip	Adult	WFT		1	5	2	1.71	14	1	3		0	9	0	9
WFT	Western Flower thrip	Larvae	WFT		1	5	3	2.37	20.8	1	3		1	79	0	80
WFT	Western Flower thrip	Adult	WFT		1	5	3	2.37	20.8	1	3		0	8	0	8
WFT	Western Flower thrip	Larvae	WFT		1	15	control	0	0	1	1		31	66	0	97
WFT	Western Flower thrip	Adult	WFT		1	15	control	0	0	1	1		4	14	0	18
WFT	Western Flower thrip	Larvae	WFT		1	15	0	0	23	1	1		117	32	0	149
WFT	Western Flower thrip	Adult	WFT		1	15	0	0	23	1	1		1	3	0	4
